Date,OFR FSI,Credit,Equity valuation,Safe assets,Funding,Volatility,United States,Other advanced economies,Emerging markets
1/3/2000,2.14,0.54,-0.051,0.67,0.472,0.509,1.769,0.521,-0.15
1/4/2000,2.421,0.604,0.079,0.627,0.55,0.561,2.084,0.474,-0.137
1/5/2000,2.297,0.575,0.08,0.653,0.501,0.488,2.023,0.406,-0.132
1/6/2000,2.292,0.546,0.082,0.581,0.566,0.517,2.064,0.355,-0.127
1/7/2000,2.005,0.662,-0.011,0.519,0.565,0.27,1.769,0.367,-0.131
1/10/2000,1.955,0.71,-0.058,0.513,0.5,0.29,1.639,0.451,-0.135
1/11/2000,1.89,0.517,-0.007,0.566,0.487,0.327,1.699,0.311,-0.12
1/12/2000,1.914,0.534,0.005,0.576,0.433,0.366,1.687,0.346,-0.119
1/13/2000,1.891,0.587,-0.037,0.498,0.536,0.307,1.707,0.31,-0.126
1/14/2000,1.647,0.584,-0.079,0.448,0.512,0.182,1.52,0.256,-0.129
1/18/2000,1.7,0.475,-0.057,0.483,0.549,0.25,1.67,0.172,-0.142
1/19/2000,1.865,0.485,-0.046,0.483,0.661,0.282,1.794,0.204,-0.133
1/20/2000,1.641,0.466,-0.017,0.525,0.406,0.261,1.577,0.194,-0.13
1/21/2000,1.498,0.465,-0.002,0.503,0.339,0.193,1.459,0.172,-0.133
1/24/2000,1.705,0.523,0.098,0.436,0.366,0.282,1.694,0.141,-0.13
1/25/2000,1.444,0.523,0.084,0.375,0.226,0.236,1.471,0.095,-0.122
1/26/2000,1.456,0.522,0.1,0.392,0.218,0.224,1.464,0.109,-0.117
1/27/2000,1.296,0.432,0.116,0.359,0.122,0.267,1.419,-0.009,-0.114
1/28/2000,1.594,0.492,0.219,0.204,0.23,0.449,1.73,-0.03,-0.106
1/31/2000,1.586,0.667,0.137,0.153,0.236,0.393,1.655,0.031,-0.1
2/1/2000,1.57,0.696,0.095,0.115,0.259,0.405,1.588,0.084,-0.102
2/2/2000,1.56,0.604,0.098,0.111,0.365,0.382,1.633,0.027,-0.1
2/3/2000,1.796,0.652,0.054,0.195,0.565,0.33,1.795,0.113,-0.112
2/4/2000,1.436,0.581,0.052,0.138,0.393,0.272,1.507,0.069,-0.14
2/7/2000,1.444,0.539,0.05,0.116,0.382,0.357,1.588,-0.007,-0.137
2/8/2000,1.236,0.612,0.007,0.096,0.224,0.297,1.337,0.036,-0.137
2/9/2000,1.488,0.541,0.083,0.184,0.289,0.391,1.602,0.03,-0.144
2/10/2000,1.326,0.542,0.07,0.123,0.249,0.342,1.517,-0.034,-0.157
2/11/2000,1.408,0.554,0.15,0.149,0.18,0.375,1.555,0.003,-0.15
2/14/2000,1.499,0.61,0.152,0.062,0.292,0.383,1.652,-0.02,-0.133
2/15/2000,1.246,0.563,0.121,0.092,0.116,0.354,1.366,-0.023,-0.097
2/16/2000,1.49,0.567,0.159,0.126,0.207,0.431,1.564,0.022,-0.096
2/17/2000,1.426,0.514,0.158,0.097,0.191,0.466,1.54,-0.022,-0.092
2/18/2000,1.723,0.58,0.276,0.024,0.265,0.578,1.844,-0.033,-0.088
2/22/2000,1.868,0.758,0.269,0.081,0.214,0.546,1.815,0.125,-0.072
2/23/2000,1.566,0.682,0.25,0.083,0.071,0.48,1.555,0.08,-0.069
2/24/2000,1.654,0.758,0.265,-0.002,0.14,0.493,1.67,0.052,-0.068
2/25/2000,1.734,0.754,0.326,-0.049,0.196,0.507,1.779,0.017,-0.062
2/28/2000,1.657,0.753,0.29,0.008,0.087,0.519,1.675,0.042,-0.06
2/29/2000,1.597,0.859,0.246,-0.067,0.114,0.445,1.619,0.03,-0.052
3/1/2000,1.732,0.842,0.203,0.11,0.145,0.432,1.589,0.195,-0.052
3/2/2000,1.541,0.779,0.193,0.049,0.131,0.389,1.526,0.069,-0.054
3/3/2000,1.284,0.864,0.121,-0.006,0.068,0.237,1.264,0.076,-0.056
3/6/2000,1.512,0.881,0.169,0.012,0.084,0.366,1.448,0.12,-0.056
3/7/2000,1.909,0.899,0.27,0.055,0.083,0.602,1.721,0.216,-0.028
3/8/2000,2.019,0.874,0.238,0.041,0.151,0.715,1.791,0.205,0.023
3/9/2000,1.978,0.968,0.146,0.067,0.154,0.643,1.635,0.322,0.021
3/10/2000,1.83,0.945,0.166,0.068,0.067,0.584,1.503,0.303,0.024
3/13/2000,2.153,1.023,0.21,0.088,0.149,0.683,1.743,0.376,0.034
3/14/2000,2.392,1.015,0.282,0.121,0.187,0.787,1.951,0.402,0.039
3/15/2000,2.191,1.034,0.192,0.078,0.221,0.666,1.792,0.359,0.04
3/16/2000,1.981,1.061,0.007,0.085,0.258,0.57,1.572,0.383,0.026
3/17/2000,1.902,1.03,-0.007,0.02,0.224,0.635,1.578,0.294,0.03
3/20/2000,1.974,1.045,0.011,0.035,0.204,0.679,1.603,0.329,0.042
3/21/2000,1.625,1.071,-0.089,-0.068,0.181,0.53,1.345,0.24,0.04
3/22/2000,1.623,1.084,-0.103,-0.079,0.216,0.505,1.338,0.243,0.042
3/23/2000,1.695,1.13,-0.175,-0.022,0.249,0.513,1.349,0.309,0.037
3/24/2000,1.888,1.076,-0.177,0.105,0.297,0.587,1.473,0.381,0.034
3/27/2000,2.079,1.084,-0.161,0.067,0.43,0.659,1.708,0.338,0.033
3/28/2000,2.212,1.174,-0.118,0.05,0.398,0.708,1.777,0.398,0.037
3/29/2000,2.224,1.199,-0.12,0.004,0.407,0.734,1.781,0.396,0.047
3/30/2000,2.609,1.367,-0.061,0.03,0.484,0.789,2.086,0.473,0.05
3/31/2000,2.971,1.492,0.004,0.104,0.523,0.848,2.175,0.745,0.051
4/3/2000,2.848,1.499,-0.022,0.019,0.598,0.754,2.162,0.632,0.054
4/4/2000,3.008,1.555,0.012,0.015,0.58,0.846,2.316,0.632,0.06
4/5/2000,3.158,1.629,0.034,0.021,0.55,0.924,2.397,0.702,0.059
4/6/2000,2.743,1.528,-0.003,0.048,0.461,0.709,2.131,0.593,0.019
4/7/2000,2.373,1.549,-0.044,-0.027,0.493,0.402,1.901,0.498,-0.026
4/10/2000,2.654,1.623,-0.015,-0.076,0.658,0.464,2.175,0.499,-0.02
4/11/2000,2.669,1.574,-0.002,-0.088,0.647,0.538,2.261,0.419,-0.011
4/12/2000,3.022,1.616,0.088,-0.046,0.593,0.771,2.429,0.565,0.028
4/13/2000,3.042,1.574,0.163,-0.054,0.595,0.764,2.508,0.5,0.034
4/14/2000,4.116,1.667,0.406,0.041,0.967,1.035,3.39,0.685,0.041
4/17/2000,3.491,1.619,0.292,0.051,0.685,0.844,2.771,0.664,0.056
4/18/2000,3.003,1.579,0.166,0.005,0.617,0.636,2.384,0.571,0.048
4/19/2000,3.03,1.534,0.209,-0.03,0.715,0.602,2.49,0.492,0.048
4/20/2000,2.877,1.572,0.186,-0.089,0.673,0.535,2.365,0.467,0.045
4/24/2000,3.01,1.553,0.2,-0.078,0.72,0.615,2.493,0.472,0.045
4/25/2000,2.652,1.494,0.068,-0.15,0.671,0.569,2.245,0.365,0.042
4/26/2000,2.884,1.511,0.114,-0.146,0.79,0.615,2.486,0.353,0.045
4/27/2000,2.854,1.51,0.103,-0.191,0.811,0.621,2.49,0.311,0.053
4/28/2000,2.934,1.591,0.135,-0.25,0.88,0.578,2.604,0.289,0.041
5/1/2000,2.956,1.686,0.102,-0.228,0.859,0.537,2.568,0.348,0.04
5/2/2000,3.207,1.624,0.161,-0.21,0.959,0.673,2.835,0.319,0.053
5/3/2000,3.524,1.65,0.252,-0.235,0.971,0.886,3.143,0.325,0.056
5/4/2000,3.662,1.591,0.268,-0.21,1.165,0.848,3.295,0.319,0.048
5/5/2000,3.53,1.656,0.18,-0.181,1.186,0.689,3.111,0.372,0.047
5/8/2000,3.547,1.662,0.206,-0.177,1.108,0.748,3.131,0.362,0.054
5/9/2000,3.459,1.682,0.242,-0.166,0.945,0.756,3.062,0.353,0.044
